[458]:HP(1854),HA(2351),HM(2414),LM(2685),LA(3266),LP(3492)
[1249]:HP(2497),HA(4585),HM(4993),LM(8451),LA(12056),LP(783121)
[1954]:HP(8888),HA(10992),HM(11302),LM(14121),LP(15718),LA(17460)
[727]:HP(1453),HA(2677),HM(2905),LM(4818),LA(6706),LP(266080)
[1274]:HP(5553),HA(6977),HM(7194),LM(8860),LP(9258),LA(10649)
[1666]:HP(3332),HA(6128),HM(6661),LM(11728),LA(15501),LP(1391941)
[1252]:HP(5502),HA(6826),HM(7044),LP(8670),LM(8966),LA(10143)
[291]:HP(1168),HA(1457),HM(1483),LP(1738),LM(1870),LA(2108)
[1702]:HP(7720),HA(9440),HM(9772),LM(12003),LP(14497),LA(14770)
[554]:HP(1107),HA(2018),HM(2213),LM(3265),LA(4408),LP(154841)
[1361]:HP(6085),HA(7487),HM(7674),LM(9711),LA(10224),LP(10327)
[541]:HP(2269),HA(2820),HM(2881),LP(3599),LM(3731),LA(4171)
[1579]:HP(7099),HA(8671),HM(9096),LM(11228),LP(11555),LA(12863)
[1435]:HP(6432),HA(7946),HM(8169),LM(10386),LA(10871),LP(11374)
[1765]:HP(7935),HA(9819),HM(10174),LM(12886),LP(13915),LA(17007)
[1806]:HP(8204),HA(10043),HM(10417),LM(13985),LP(15019),LA(15669)
[722]:HP(3054),HA(3854),HM(3949),LM(4596),LP(5146),LA(5778)
[460]:HP(1924),HA(2392),HM(2438),LP(3004),LM(3045),LA(3862)
[453]:HP(1864),HA(2345),HM(2412),LP(2842),LM(2954),LA(3063)
[703]:HP(2962),HA(3703),HM(3825),LM(4583),LA(5440),LP(5543)
[386]:HP(1579),HA(1967),HM(2015),LM(2335),LP(2482),LA(3246)
[347]:HP(693),HA(1275),HM(1385),LM(2098),LA(2460),LP(61070)
[1473]:HP(6558),HA(8083),HM(8432),LM(10359),LP(10994),LA(11596)
[222]:HP(867),HA(1086),HM(1132),LP(1232),LM(1278),LA(1349)
[439]:HP(1788),HA(2259),HM(2321),LM(2872),LP(3032),LA(3197)
[1241]:HP(5539),HA(6754),HM(6995),LM(8453),LA(10197),LP(10343)
[1521]:HP(6772),HA(8376),HM(8599),LM(11544),LP(13687),LA(13798)
[379]:HP(1528),HA(1901),HM(1977),LP(2219),LM(2535),LA(2643)
[1111]:HP(4863),HA(5977),HM(6203),LM(7556),LP(8025),LA(9383)
[1799]:HP(8138),HA(9972),HM(10361),LM(13383),LP(15094),LA(16250)
[1768]:HP(8029),HA(9915),HM(10203),LM(13266),LP(13937),LA(14839)
[564]:HP(2365),HA(2925),HM(3015),LM(3664),LP(3992),LA(4076)
[1205]:HP(5369),HA(6523),HM(6697),LM(7797),LP(8812),LA(11184)
[79]:HP(272),HA(361),LM(368),HM(374),LP(409),LA(526)
[1703]:HP(7701),HA(9477),HM(9747),LM(12142),LP(12161),LA(15341)
[1082]:HP(4692),HA(5811),HM(5982),LP(7367),LM(7556),LA(9646)
[1674]:HP(7521),HA(9243),HM(9579),LM(12858),LA(15005),LP(15823)
[402]:HP(1620),HA(2029),HM(2109),LM(2545),LA(2665),LP(3472)
[712]:HP(3029),HA(3774),HM(3917),LM(4408),LP(4708),LA(5936)
[1440]:HP(6478),HA(7934),HM(8215),LP(9979),LM(10754),LA(13057)
[860]:HP(3707),HA(4689),HM(4767),LM(5409),LP(5881),LA(6670)
[1512]:HP(6782),HA(8324),HM(8597),LM(11580),LP(12266),LA(12790)
[1925]:HP(8747),HA(10826),HM(11146),LM(13710),LP(15409),LA(16928)
[1878]:HP(8548),HA(10452),HM(10869),LM(13067),LA(15639),LP(16390)
[1865]:HP(8584),HA(10340),HM(10798),LM(14334),LP(15998),LA(16722)
[42]:HP(143),LM(176),HA(178),HM(184),LA(187),LP(197)
[192]:HP(726),HA(905),HM(945),LM(1037),LP(1101),LA(1367)
[1552]:HP(6964),HA(8556),HM(8856),LM(10999),LP(12265),LA(13849)
[766]:HP(3228),HA(4048),HM(4160),LP(4836),LM(5747),LA(5969)
[1630]:HP(3260),HA(6008),HM(6516),LM(11560),LA(13656),LP(1332523)
[1638]:HP(7420),HA(9094),HM(9470),LM(11727),LP(13801),LA(14632)
[386]:HP(1555),HA(1943),HM(2006),LM(2301),LA(2563),LP(2733)
[174]:HP(629),HA(826),HM(851),LM(900),LP(1044),LA(1092)
[1999]:HP(9244),HA(11105),HM(11598),LP(14703),LM(15082),LA(21122)
[314]:HP(627),HA(1155),HM(1253),LM(1819),LA(2262),LP(50081)
[80]:HP(159),HA(290),HM(317),LM(391),LA(419),LP(3398)
